City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,blackmans bay,-43.0167,147.3167,288.22,81,93,2.41,AU,1711791058
1,ust-nera,64.5667,143.2,261.31,99,100,1.74,RU,1711791058
2,durazno,-33.4131,-56.5006,288.12,100,20,1.54,UY,1711790966
3,puerto baquerizo moreno,-0.9,-89.6,297.94,81,88,2.61,EC,1711791007
4,kerrville,30.0474,-99.1403,290.67,90,100,3.6,US,1711791059
5,ushuaia,-54.8,-68.3,275.96,87,40,8.75,AR,1711791059
6,waitangi,-43.9535,-176.5597,287.49,95,89,1.79,NZ,1711791059
7,rio preto da eva,-2.6994,-59.6997,295.87,94,100,1.27,BR,1711791059
8,trzacka rastela,44.9733,15.7903,293.58,41,95,5.37,BA,1711791059
9,fale old settlement,-9.3852,-171.2468,302.75,72,3,3.01,TK,1711791059
10,lubao,14.9167,120.55,308.99,59,100,3.12,PH,1711791059
11,marion,39.7684,-86.1555,287.7,52,100,5.14,US,1711791060
12,port alfred,-33.5906,26.891,295.47,84,51,3.58,ZA,1711791060
13,vorgashor,67.5833,63.95,259.71,92,99,5.7,RU,1711791060
14,petropavlovsk-kamchatsky,53.0452,158.6483,271.48,89,75,3.0,RU,1711790853
15,betio village,1.358,172.9211,301.17,82,94,8.22,KI,1711791060
16,la romana,18.4273,-68.9728,295.12,88,65,2.89,DO,1711791060
17,yellowknife,62.456,-114.3525,255.44,71,75,4.63,CA,1711791060
18,papatowai,-46.5619,169.4708,282.64,90,100,0.41,NZ,1711791061
19,saint-philippe,-21.3585,55.7679,301.92,76,100,2.91,RE,1711791061
20,arba minch,6.0333,37.55,303.04,42,80,2.04,ET,1711791061
21,constantia,44.1833,28.65,295.76,66,100,7.25,RO,1711790823
22,bethel,41.3712,-73.414,277.6,64,0,4.12,US,1711790931
23,longyearbyen,78.2186,15.6401,253.06,54,20,6.17,SJ,1711791061
24,palikir - national government center,6.9248,158.1611,300.62,83,100,6.17,FM,1711791061
25,bilibino,68.0546,166.4372,256.58,98,100,1.04,RU,1711791061
26,college,64.8569,-147.8028,272.12,64,75,2.57,US,1711791062
27,kharp,66.8014,65.8081,265.62,80,75,3.62,RU,1711791062
28,keflavik,64.0049,-22.5624,274.1,59,20,12.86,IS,1711791062
29,tolanaro,-25.0319,46.9987,303.19,70,20,8.23,MG,1711791062
30,grand falls-windsor,48.9332,-55.6649,281.76,96,100,4.75,CA,1711791062
31,new norfolk,-42.7826,147.0587,288.87,90,52,0.96,AU,1711791062
32,edinburgh of the seven seas,-37.0676,-12.3116,287.92,63,33,8.45,SH,1711791062
33,tura,25.5198,90.2201,301.33,52,98,0.95,IN,1711791063
34,hamilton,39.1834,-84.5333,286.5,57,75,3.6,US,1711790950
35,olinda,-8.0089,-34.8553,299.0,100,75,1.03,BR,1711791063
36,qaqortoq,60.7167,-46.0333,261.19,80,7,2.55,GL,1711790978
37,acapulco de juarez,16.8634,-99.8901,297.05,88,75,1.54,MX,1711791042
38,port-aux-francais,-49.35,70.2167,282.25,96,100,15.68,TF,1711791063
39,elko,41.0002,-115.5012,274.16,95,84,0.89,US,1711791063
40,santiago de cao,-7.9589,-79.2392,293.22,94,98,3.6,PE,1711791063
41,adamstown,-25.066,-130.1015,296.49,65,79,11.22,PN,1711791063
42,lihue,21.9789,-159.3672,295.92,84,40,6.17,US,1711791064
43,anadyr,64.75,177.4833,254.43,84,0,5.0,RU,1711790973
44,uray,60.1247,64.7758,272.52,89,100,5.36,RU,1711791064
45,arkhangel'sk,64.5401,40.5433,269.33,68,40,5.0,RU,1711791064
46,chunskiy,56.0815,99.6342,274.08,94,100,1.26,RU,1711791064
47,hermanus,-34.4187,19.2345,299.15,53,48,4.07,ZA,1711791064
48,carnarvon,-24.8667,113.6333,300.08,59,87,8.41,AU,1711791064
49,al ghayzah,16.2079,52.176,303.1,42,32,6.21,YE,1711791064
50,crane,31.3974,-102.3501,289.44,73,99,4.8,US,1711791065
51,loango,-4.6719,11.8312,302.73,72,100,2.68,CG,1711791065
52,bandundu,-3.3167,17.3667,307.95,45,92,1.28,CD,1711791065
53,nuuk,64.1835,-51.7216,268.49,68,0,1.03,GL,1711791065
54,cockburn town,21.4612,-71.1419,296.94,65,83,8.68,TC,1711790887
55,kikwit,-5.041,18.8162,307.36,45,49,1.18,CD,1711791065
56,atafu village,-8.5421,-172.5159,302.23,75,93,1.59,TK,1711790778
57,kijang,35.2442,129.2139,289.0,83,66,6.09,KR,1711791066
58,grytviken,-54.2811,-36.5092,277.37,77,30,10.54,GS,1711791066
59,severo-vostotchnyi bank,39.4112,49.2479,290.86,50,100,3.4,AZ,1711791066
60,santarem,-2.4431,-54.7083,299.22,89,75,4.12,BR,1711791066
61,juneau,58.3019,-134.4197,277.15,93,100,0.0,US,1711791066
62,udachny,66.4167,112.4,261.17,80,72,7.49,RU,1711791066
63,oodweyne,9.4092,45.064,302.78,30,81,5.27,SO,1711791067
64,st. john's,47.5649,-52.7093,284.14,99,100,9.26,CA,1711790972
65,bredasdorp,-34.5322,20.0403,298.63,51,46,4.42,ZA,1711791067
66,jasper,37.2001,-94.3502,290.18,68,0,5.14,US,1711791067
67,bamboo flat,11.7,92.7167,305.2,62,18,3.6,IN,1711791067
68,olonkinbyen,70.9221,-8.7187,265.92,64,100,7.86,SJ,1711791067
